id,label,file,title_en,title_ja,object_type_en,object_type_ja,period_en,period_ja,site_en,site_ja,city_en,city_ja,prefecture_en,prefecture_ja,country_en,country_ja,report_en,report_ja,report_url,figure,institution_en,institution_ja,description_en,description_ja,source_url,lat,lon,zoom
shioya,ShioyaKinseiJinja-Sekibo,models/ea510ce736104fbbb5f63a47f235a4a3.glb,ShioyaKinseiJinja-Sekibo,塩屋金精神社遺跡出土石棒,Sekibo,石棒,Jomon Age,縄文時代,ShioyaKinseiJinja Site,塩屋金精神社遺跡,Hida City,飛騨市,Gifu,岐阜,Japan,日本,Excavation report of ShioyaKinseiJinja Site Loc.A,『塩屋金清神社遺跡（Ａ地点）発掘調査報告書』,https://sitereports.nabunken.go.jp/ja/13137,Fig.79-11,Hida-Miyagawa Archaeology and Folklore Museum,飛騨市飛騨みやがわ考古民俗館,"Sekibo from ShioyaKinseiJinja Site, Hida City, Gifu Prefecture.",岐阜県飛騨市宮川町塩屋金精神社遺跡出土の石棒,https://sketchfab.com/3d-models/2000a79-11-ea510ce736104fbbb5f63a47f235a4a3,36.39130998401390,137.18404173771100,16
dounomae,Dounomae-Sekibo,models/64b4fa034a8d4a3fb39a68a894889502.glb,Dounomae-Sekibo,堂ノ前遺跡出土石棒,Sekibo,石棒,Jomon Age,縄文時代,Dounomae Site,堂ノ前遺跡,Hida City,飛騨市,Gifu,岐阜,Japan,日本,Excavation report of Dounomae Site,『堂ノ前遺跡』,https://sitereports.nabunken.go.jp/ja/12590,Fig.74,Hida-Miyagawa Archaeology and Folklore Museum,飛騨市飛騨みやがわ考古民俗館,"Sekibo from Dounomae Site, Hida City, Gifu Prefecture.",岐阜県飛騨市宮川町堂ノ前遺跡出土の石棒,https://sketchfab.com/3d-models/199674-64b4fa034a8d4a3fb39a68a894889502,36.39112310267430,137.18431510971900,16
